#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
143,John Starks,96,3035,1363,450,1069,42.1,176,475,37.1,287,378,75.9,37,234,271,393,120,9,224,50.3,55.2
145,Willis Reed,78,2641,1358,570,1203,47.4,-,-,-,218,285,76.5,4,18,801,149,2,0,-,47.4,51.1
146,Bill Laimbeer,113,3735,1354,549,1174,46.8,44,137,32.1,212,259,81.9,257,840,1097,195,84,83,143,48.6,52.6
147,Rudy LaRusso,93,3188,1344,467,1152,40.5,-,-,-,410,546,75.1,-,-,779,194,-,-,-,40.5,48.3
148,Steven Smith,90,2902,1338,444,1042,42.6,136,345,39.4,314,366,85.8,99,169,268,195,77,29,135,49.1,55.6
149,Paul Westphal,107,2449,1337,553,1149,48.1,6,29,20.7,225,285,78.9,40,106,153,353,89,23,89,48.4,52.5
150,David West,118,3138,1335,537,1128,47.6,8,25,32,253,318,79.6,151,504,655,265,74,95,174,48,52.6
151,Frank Ramsey,98,2396,1331,469,1105,42.4,-,-,-,393,476,82.6,-,-,494,151,-,-,-,42.4,50.6
152,Mike Bibby,105,3484,1324,466,1142,40.8,145,391,37.1,247,303,81.5,64,266,330,420,111,25,191,47.2,51.9
153,A.C. Green,153,4119,1315,455,958,47.5,12,48,25,393,532,73.9,390,694,1084,130,100,46,146,48.1,55.2
154,Marc Gasol,94,3307,1305,459,1038,44.2,46,134,34.3,341,422,80.8,141,587,728,306,79,136,137,46.4,53.3
155,Anfernee Hardaway,64,2640,1304,456,1018,44.8,101,266,38,291,390,74.6,101,202,303,394,119,48,188,49.8,54.8
156,Lou Hudson,61,2199,1300,519,1164,44.6,-,-,-,262,326,80.4,8,5,318,164,6,0,10,44.6,49.7
157,Alonzo Mourning,95,2597,1291,441,861,51.2,7,19,36.8,402,619,64.9,179,486,665,81,45,215,226,51.6,57
158,DeMar DeRozan,58,2165,1271,455,1088,41.8,24,103,23.3,337,396,85.1,41,228,269,208,63,12,133,42.9,50.3
159,Wes Unseld,119,4889,1260,513,1040,49.3,0,1,0,234,385,60.8,306,742,1777,453,67,55,69,49.3,52.1
